# RA        Dec       Flux_182  Flux_cat  Alpha     Freq      Catalog    
22.84     6.4       14.47     12.3      -1.24     160.0     Culgoora   
250.95    17.26     14.44     12.7      -0.98     160.0     Culgoora   
18.02     14.74     14.42     12.8      -0.91     160.0     Culgoora   
192.52    -40.44    14.42     13.7      -0.39     160.0     Culgoora   
80.41     -20.8     14.38     14.25     -0.68     180.0     MWACS      
247.4     23.33     14.37     13.3      -0.59     160.0     Culgoora   
19.58     2.98      14.36     13.0      -0.76     160.0     Culgoora   
13.09     -43.11    14.35     14.22     -0.68     180.0     MWACS      
78.52     0.94      14.33     12.7      -0.92     160.0     Culgoora   
116.26    2.0       14.27     12.9      -0.77     160.0     Culgoora   
262.09    31.75     14.27     13.7      -0.31     160.0     Culgoora   
216.91    -12.06    14.25     12.5      -1.0      160.0     Culgoora   
78.22     -48.4     14.25     14.04     -1.06     180.0     MWACS      
319.15    -20.93    14.23     14.05     -0.97     180.0     MWACS      
45.82     16.43     14.19     13.1      -0.61     160.0     Culgoora   
27.65     -29.54    14.12     13.93     -1.02     180.0     MWACS      
359.7     -60.88    14.12     26.88     -0.8      408.0     MRC        
2.63      -44.38    14.04     13.89     -0.82     180.0     MWACS      
351.33    -4.96     14.03     12.5      -0.88     160.0     Culgoora   
175.21    -26.49    13.99     12.0      -1.17     160.0     Culgoora   
9.43      13.35     13.95     12.3      -0.96     160.0     Culgoora   
22.83     25.35     13.93     13.3      -0.35     160.0     Culgoora   
252.92    -6.31     13.9      12.0      -1.12     160.0     Culgoora   
112.05    14.63     13.9      12.0      -1.12     160.0     Culgoora   
125.63    5.94      13.9      12.0      -1.12     160.0     Culgoora   
36.06     27.84     13.88     12.6      -0.74     160.0     Culgoora   
236.93    20.88     13.88     12.9      -0.56     160.0     Culgoora   
242.52    32.92     13.87     12.2      -0.98     160.0     Culgoora   
24.23     30.23     13.84     12.3      -0.9      160.0     Culgoora   
269.62    13.48     13.84     13.8      -0.02     160.0     Culgoora   
176.57    -31.96    13.79     12.8      -0.57     160.0     Culgoora   
206.75    -8.05     13.79     12.0      -1.06     160.0     Culgoora   
313.07    -36.67    13.78     13.3      -0.27     160.0     Culgoora   
351.34    -12.13    13.75     13.75     -0.8      182.44    FHD        
155.48    21.99     13.74     12.9      -0.48     160.0     Culgoora   
67.78     1.21      13.7      12.7      -0.58     160.0     Culgoora   
308.33    -22.89    13.68     13.0      -0.39     160.0     Culgoora   
204.15    -33.96    13.68     14.1      0.23      160.0     Culgoora   
268.14    -22.51    13.64     12.2      -0.85     160.0     Culgoora   
188.91    -25.2     13.61     11.7      -1.15     160.0     Culgoora   
260.75    7.31      13.6      11.3      -1.41     160.0     Culgoora   
320.69    17.1      13.59     11.9      -1.01     160.0     Culgoora   
63.62     14.27     13.58     12.0      -0.94     160.0     Culgoora   
351.66    -40.46    13.46     13.46     -0.8      182.44    FHD        
114.45    -38.22    13.41     13.28     -0.74     180.0     MWACS      
45.41     1.92      13.38     11.8      -0.96     160.0     Culgoora   
318.45    30.4      13.36     13.0      -0.21     160.0     Culgoora   
314.03    -19.95    13.31     12.4      -0.54     160.0     Culgoora   
149.57    3.42      13.25     11.9      -0.82     160.0     Culgoora   
34.27     11.07     13.25     11.9      -0.82     160.0     Culgoora   
162.87    -9.3      13.22     12.0      -0.74     160.0     Culgoora   
134.42    34.09     13.22     12.3      -0.55     160.0     Culgoora   
223.16    -13.19    13.21     11.6      -0.99     160.0     Culgoora   
175.64    -11.69    13.19     12.8      -0.23     160.0     Culgoora   
351.72    -2.05     13.18     11.7      -0.91     160.0     Culgoora   
243.08    22.37     13.13     12.2      -0.56     160.0     Culgoora   
295.96    -40.5     13.13     11.1      -1.28     160.0     Culgoora   
251.52    -22.47    13.1      12.5      -0.36     160.0     Culgoora   
50.34     -45.18    13.09     11.6      -0.92     160.0     Culgoora   
173.6     -17.45    13.04     12.1      -0.57     160.0     Culgoora   
227.72    -5.74     13.02     12.8      -0.13     160.0     Culgoora   
184.52    -46.02    13.02     12.4      -0.37     160.0     Culgoora   
241.26    -17.57    13.01     11.9      -0.68     160.0     Culgoora   
293.33    -39.67    12.99     12.2      -0.48     160.0     Culgoora   
64.02     -20.94    12.98     12.86     -0.69     180.0     MWACS      
292.5     -15.15    12.91     11.4      -0.95     160.0     Culgoora   
260.23    -23.67    12.9      12.1      -0.49     160.0     Culgoora   
173.41    -19.9     12.89     11.5      -0.87     160.0     Culgoora   
247.93    -26.95    12.87     11.6      -0.79     160.0     Culgoora   
8.79      -20.07    12.87     12.87     -0.8      182.44    FHD        
122.39    -39.09    12.82     12.62     -1.18     180.0     MWACS      
342.9     18.81     12.78     11.8      -0.61     160.0     Culgoora   
246.88    21.19     12.78     12.3      -0.29     160.0     Culgoora   
228.1     1.36      12.77     11.5      -0.8      160.0     Culgoora   
